Organisation,Year,Account_Number,Country,Industry,Ticker,ISIN,Scope_1,Scope_2,Bio_CO2,Publication_data,Total
MasterCard Incorporated,2014,11421,USA,Information Technology,MA US,US57636Q1040,2747,41994,NA,2015,44741
Atlas Copco,2014,1144,Sweden,Industrials,ATCOA SS,SE0000101032,27509,96855,NA,2015,124364
Atos SE,2014,1149,France,Information Technology,ATO FP,FR0000051732,34900,32410,NA,2015,67310
ATS Automation Tooling Systems,2014,1152,Canada,Industrials,ATA CN,CA0019401052,3160,11847,NA,2015,15007
Mazda Motor Corporation,2014,11520,Japan,Consumer Discretionary,7261 JP,JP3868400007,131690,622180,NA,2015,753870
"Mattel, Inc.",2014,11547,USA,Consumer Discretionary,MAT US,US5770811025,14901,188370,NA,2015,203271
McBride plc,2014,11565,United Kingdom,"Consumer Durables, Household and Personal Products",MCB LN,GB0005746358,9081,48494,13,2016,57588
"McCormick & Company, Incorporated",2014,11566,USA,Consumer Staples,MKC US,US5797802064,28370,74927,NA,2015,103297
AU Optronics,2014,1158,Taiwan,Information Technology,2409 TT,TW0002409000,336265,2488050,22,2015,2824337
McDonald's Corporation,2014,11581,USA,Consumer Discretionary,MCD US,US5801351017,206502,1786744,NA,2015,1993246
McGraw Hill Financial Inc.,2014,11584,USA,Financials,MHFI US,US5806451093,8036,43423,NA,2015,51459
MeadWestvaco Corp.,2014,11607,USA,Materials,MWV US,US5833341077,2717280,463091,6452563,2015,9632934
Express Scripts Holding Company,2014,11623,USA,Health Care,ESRX US,US30219G1085,55,9305,NA,2015,9360
Meda AB,2014,11624,Sweden,Health Care,MEDAA SS,SE0000221723,13350,8243,NA,2015,21593
Mediaset,2014,11631,Italy,Consumer Discretionary,MS IM,IT0001063210,NA,31324,NA,2015,31324
MediaTek,2014,11632,Taiwan,Information Technology,2454 TT,TW0002454006,308,18596,NA,2015,18904
Mediclinic International,2014,11638,South Africa,Health Care,MDC SJ,ZAE000074142,22998,154034,NA,2015,177032
Auckland International Airport,2014,1164,New Zealand,Air Transportation - Airport Services,AIA NZ,NZAIAE0002S6,2408,5086,NA,2016,7494
Mediobanca,2014,11640,Italy,Financials,MB IM,IT0000062957,384,0,NA,2015,384
Medtronic PLC,2014,11651,Ireland,Health Care,MDT US,US5850551061,32651,169640,NA,2015,202291
Meggitt,2014,11655,United Kingdom,Industrials,MGGT LN,GB0005758098,35693,96204,NA,2015,131897
Merck KGaA,2014,11764,Germany,Health Care,MRK GR,DE0006599905,323449,200731,10525,2015,534705
"Merck & Co., Inc.",2014,11765,USA,Health Care,MRK US,US58933Y1055,944000,732000,NA,2015,1676000
Methanex Corporation,2014,11815,Canada,Materials,MX CN,CA59151K1084,3567181,67709,NA,2015,3634890
METRO AG,2014,11820,Germany,Consumer Staples,MEO GR,DE0007257503,1015157,1803799,NA,2015,2818956
