Organisation,Year,Account_Number,Country,Industry,Ticker,ISIN,Scope_1,Scope_2,Bio_CO2,Publication_data,Total
Arkhangelsk Pulp and Paper Mill,1990,52914,Russia,Materials,ACBK RU,RU0005418796,3008936,160810,1274993,2015,4444739
FirstEnergy Corporation,2005,6383,USA,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",FE US,US3379321074,86403130,NA,NA,2016,86403130
TRW Automotive Holdings Corp,2006,34458,USA,Consumer Discretionary,TRW US,US87264S1069,163402,606475,NA,2014,769877
FirstEnergy Corporation,2006,6383,USA,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",FE US,US3379321074,88011560,NA,NA,2016,88011560
Sears Canada Inc.,2007,16576,Canada,Consumer Discretionary,SCC CN,CA81234D1096,170179,95687,NA,2013,265866
AWE,2007,21454,Australia,Energy,AWE AU,AU000000AWE9,318083,126,NA,2013,318209
TRW Automotive Holdings Corp,2007,34458,USA,Consumer Discretionary,TRW US,US87264S1069,120502,684015,NA,2014,804517
FirstEnergy Corporation,2007,6383,USA,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",FE US,US3379321074,86710669,NA,NA,2016,86710669
Hannover Rückversicherung AG,2007,8082,Germany,Financials,HNR1 GR,DE0008402215,NA,4033,NA,2014,4033
Progressive Waste Solutions Ltd.,2007,8806,Canada,Industrials,BIN CN,CA74339G1019,1477552,15711,13939,2013,1507202
Northrop Grumman Corp,2008,13488,USA,Industrials,NOC US,US6668071029,209581,641300,NA,2015,850881
Sears Canada Inc.,2008,16576,Canada,Consumer Discretionary,SCC CN,CA81234D1096,161903,83438,NA,2013,245341
AWE,2008,21454,Australia,Energy,AWE AU,AU000000AWE9,294757,132,NA,2013,294889
Cia Energética de São Paulo S.A. - CESP,2008,3299,Brazil,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",CESP3 BZ,BRCESPACNOR3,4078,690,NA,2016,4768
TRW Automotive Holdings Corp,2008,34458,USA,Consumer Discretionary,TRW US,US87264S1069,106844,641055,NA,2014,747899
Companhia de Saneamento Basico do Estado de Sao Paulo - SABESP,2008,3690,Brazil,Utilities,SBSP3 BZ,BRSBSPACNOR5,1690432,102143,NA,2013,1792575
FirstEnergy Corporation,2008,6383,USA,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",FE US,US3379321074,85919193,NA,NA,2016,85919193
Hannover Rückversicherung AG,2008,8082,Germany,Financials,HNR1 GR,DE0008402215,0,4338,NA,2014,4338
Progressive Waste Solutions Ltd.,2008,8806,Canada,Industrials,BIN CN,CA74339G1019,1629085,16606,16020,2013,1661711
Ingersoll-Rand Co. Ltd.,2008,9103,Bermuda,Industrials,IR US,IE00B6330302,817756,399227,NA,2013,1216983
"LAWSON, Inc.",2009,10511,Japan,Consumer Discretionary,2651 JP,JP3982100004,5552,21753,NA,2013,27305
Munich Re,2009,12611,Germany,Financials,MUV2 GR,DE0008430026,74193,116735,NA,2013,190928
Northrop Grumman Corp,2009,13488,USA,Industrials,NOC US,US6668071029,203187,585489,NA,2015,788676
Rentokil Initial,2009,15675,United Kingdom,Industrials,RTO LN,GB00B082RF11,208290,30426,NA,2014,238716
Royal Bank of Canada,2009,15980,Canada,Financials,RY CN,CA7800871021,33482,178080,NA,2013,211562
Sears Canada Inc.,2009,16576,Canada,Consumer Discretionary,SCC CN,CA81234D1096,147599,68944,NA,2013,216543
Taylor Wimpey Plc,2009,18354,United Kingdom,Consumer Discretionary,TW/ LN,GB0008782301,11524,23731,NA,2013,35255
Telecom Corporation of New Zealand,2009,18413,New Zealand,Telecommunication Services,TEL NZ,NZTELE0001S4,5054,37506,NA,2013,42560
TransAlta Corporation,2009,19328,Canada,Utilities,TA CN,CA89346D1078,32633345,195117,NA,2013,32828462
AWE,2009,21454,Australia,Energy,AWE AU,AU000000AWE9,210134,194,NA,2013,210328
Stobart Group Ltd,2009,21814,United Kingdom,Industrials,STOB LN,GB00B03HDJ73,288309,9299,NA,2014,297608
"Kintetsu World Express, Inc.",2009,22197,Japan,Consumer Discretionary,9375 JT,JP3262900008,673,7065,NA,2013,7738
Grupo Financiero Banorte SAB de CV,2009,22734,Mexico,Financials,GFNORTEO MM,MXP370711014,3749,54270,NA,2014,58019
Iron Mountain Inc.,2009,30131,USA,Industrials,IRM US,US4628461067,132714,171709,NA,2013,304423
Befimmo SA,2009,31360,Belgium,Financials,BEFB BB,BE0003678894,153,0,NA,2013,153
Tim Hortons Inc.,2009,31830,Canada,Consumer Discretionary,THI CN,CA88706M1032,19624,3866,NA,2013,23490
Amadeus IT Holding,2009,31917,Spain,Information Technology,AMS SM,ES0109067019,1310,18493,NA,2013,19803
Cia Energética de São Paulo S.A. - CESP,2009,3299,Brazil,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",CESP3 BZ,BRCESPACNOR3,3491,359,NA,2016,3850
Hyatt Hotels,2009,33275,USA,Consumer Discretionary,H US,US4485791028,215848,1162268,NA,2013,1378116
TRW Automotive Holdings Corp,2009,34458,USA,Consumer Discretionary,TRW US,US87264S1069,96120,519774,NA,2014,615894
Club Mediterranee,2009,3514,France,Consumer Discretionary,CU FP,FR0000121568,32054,85669,NA,2014,117723
Companhia de Saneamento Basico do Estado de Sao Paulo - SABESP,2009,3690,Brazil,Utilities,SBSP3 BZ,BRSBSPACNOR5,1741327,49472,NA,2013,1790799
Henry Boot plc,2009,37010,United Kingdom,Consumer Discretionary,BHY LN,GB0001110096,740,128,NA,2014,868
CaixaBank,2009,4081,Spain,"Banks, Diverse Financials, Insurance",CABK SM,ES0140609019,17206,55327,NA,2016,72533
Trade Me,2009,44968,New Zealand,Consumer Discretionary,TME NZ,NA,24,54,NA,2013,78
RCL Foods Ltd,2009,49681,South Africa,Consumer Staples,RCL SJ,NA,120296,323536,NA,2014,443832
FERROVIAL,2009,6305,Spain,Construction & Engineering,FER SM,ES0118900010,729107,140187,34299,2017,903593
FirstEnergy Corporation,2009,6383,USA,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",FE US,US3379321074,62844049,NA,NA,2016,62844049
Hannover Rückversicherung AG,2009,8082,Germany,Financials,HNR1 GR,DE0008402215,0,3378,NA,2014,3378
Progressive Waste Solutions Ltd.,2009,8806,Canada,Industrials,BIN CN,CA74339G1019,1941488,16209,16994,2013,1974691
Ingersoll-Rand Co. Ltd.,2009,9103,Bermuda,Industrials,IR US,IE00B6330302,503694,362016,NA,2013,865710
Kingfisher,2010,10156,United Kingdom,Consumer Discretionary,KGF LN,GB0033195214,154954,312187,NA,2013,467141
"LAWSON, Inc.",2010,10511,Japan,Consumer Discretionary,2651 JP,JP3982100004,5778,15920,NA,2013,21698
Link Real Estate Investment Trust,2010,10746,Hong Kong,Financials,823 HK,HK0823032773,0,161772,NA,2013,161772
Millennium & Copthorne Hotels,2010,11944,United Kingdom,Consumer Discretionary,MLC LN,GB0005622542,73372,235625,NA,2013,308997
Munich Re,2010,12611,Germany,Financials,MUV2 GR,DE0008430026,61675,102428,NA,2013,164103
New Zealand Oil & Gas,2010,13132,New Zealand,Energy,NZO NZ,NZNOGE0001S6,28946,NA,NA,2013,28946
Nikon Corporation,2010,13267,Japan,Information Technology,7731 JP,JP3657400002,26056,194780,NA,2013,220836
Northrop Grumman Corp,2010,13488,USA,Aerospace & Defense,NOC US,US6668071029,171410,561324,NA,2017,732734
Obrascon Huarte Lain (OHL),2010,13640,Spain,Industrials,OHL SM,ES0142090317,453850,40202,NA,2014,494052
Absa Group,2010,138,South Africa,Financials,BGA SJ,ZAE000174124,14514,419726,NA,2013,434240
Banco Sabadell,2010,1425,Spain,Financials,SAB SM,ES0113860A34,432,1646,NA,2013,2078
Barclays,2010,1502,United Kingdom,Financials,BARC LN,GB0031348658,42111,889915,NA,2013,932026
Renishaw,2010,15662,United Kingdom,Information Technology,RSW LN,GB0007323586,2386,14347,NA,2014,16733
Rentokil Initial,2010,15675,United Kingdom,Industrials,RTO LN,GB00B082RF11,182232,29481,NA,2014,211713
Baxter International Inc.,2010,1574,USA,Health Care,BAX US,US0718131099,343000,434000,162000,2013,939000
Royal Bank of Canada,2010,15980,Canada,Financials,RY CN,CA7800871021,33136,169340,NA,2013,202476
BCE Inc.,2010,1616,Canada,Telecommunication Services,BCE CN,CA05534B7604,83761,149949,NA,2013,233710
Samsung Electronics,2010,16191,South Korea,Information Technology,005930 KS,KR7005930003,1777083,4217832,NA,2013,5994915
Sears Canada Inc.,2010,16576,Canada,Consumer Discretionary,SCC CN,CA81234D1096,164446,72726,NA,2013,237172
Sims Metal Management,2010,17028,Australia,Materials,SGM AU,AU000000SGM7,123584,134470,NA,2013,258054
Standard Life,2010,17604,United Kingdom,Financials,SL/ LN,GB00B16KPT44,3505,16615,NA,2015,20120
Sun Life Financial Inc.,2010,17886,Canada,Financials,SLF CN,CA8667961053,31075,53906,NA,2013,84981
Bic,2010,1812,France,Industrials,BB FP,FR0000120966,11913,85399,NA,2013,97312
Sysco Corporation,2010,18155,USA,Consumer Staples,SYY US,US8718291078,775694,348011,NA,2013,1123705
Big Yellow Group,2010,1823,United Kingdom,Financials,BYG LN,GB0002869419,169,7283,NA,2013,7452
Tata Chemicals,2010,18288,India,Materials,TTCH IN,INE092A01019,4985851,548510,9,2013,5534370
Bilfinger SE,2010,1833,Germany,Trading Companies & Distributors and Commercial Services & Supplies,GBF GR,DE0005909006,12200,51580,NA,2017,63780
Taylor Wimpey Plc,2010,18354,United Kingdom,Consumer Discretionary,TW/ LN,GB0008782301,10194,23903,NA,2013,34097
Telecom Corporation of New Zealand,2010,18413,New Zealand,Telecommunication Services,TEL NZ,NZTELE0001S4,4835,31442,NA,2013,36277
Telus Corporation,2010,18526,Canada,Telecommunication Services,T CN,CA87971M1032,72000,280000,NA,2013,352000
TransAlta Corporation,2010,19328,Canada,Utilities,TA CN,CA89346D1078,34559597,195464,204675,2013,34959736
Welspun-Gujarat Stahl Rohren,2010,20567,India,Materials,NA,NA,138109,0,NA,2014,138109
Wesco International,2010,20593,USA,Consumer Discretionary,WCC US,US95082P1057,19121,29707,NA,2014,48828
TÜRKİYE HALK BANKASI A.Ş.,2010,21131,Turkey,Financials,HALKB TI,TRETHAL00019,12842,34892,NA,2013,47734
Charter Hall Group,2010,21448,Australia,Financials,CHC AU,AU000000CHC0,4858,96374,NA,2013,101232
AWE,2010,21454,Australia,Energy,AWE AU,AU000000AWE9,203286,280,NA,2013,203566
Vanguard International Semiconductor Corporation,2010,21683,Taiwan,Information Technology,5347 TT,NA,151191,245913,126,2014,397230
Stobart Group Ltd,2010,21814,United Kingdom,Industrials,STOB LN,GB00B03HDJ73,332884,9096,NA,2014,341980
RPS Group Plc,2010,22142,United Kingdom,Industrials,RPS LN,GB0007594764,8740,6661,NA,2013,15401
"TS Tech Co.,Ltd.",2010,22231,Japan,Consumer Discretionary,7313 JT,JP3539230007,884,9425,NA,2013,10309
Grupo Financiero Banorte SAB de CV,2010,22734,Mexico,Financials,GFNORTEO MM,MXP370711014,4052,51500,NA,2014,55552
Helical Bar Plc,2010,23011,United Kingdom,Financials,HLCL LN,GB00B0FYMT95,411,3697,NA,2013,4108
"Canadian Tire Corporation, Limited",2010,2670,Canada,Consumer Discretionary,CTC/A CN,CA1366812024,40146,56732,NA,2013,96878
Grafton Merchanting GB Ltd,2010,29026,United Kingdom,Industrials,NA,NA,37648,NA,NA,2013,37648
Centrais Eletricas Brasileiras S/A (ELETROBRAS),2010,3010,Brazil,Utilities,ELET3 BZ,BRELETACNOR6,5053803,554314,NA,2013,5608117
Iron Mountain Inc.,2010,30131,USA,Industrials,IRM US,US4628461067,129485,172242,NA,2013,301727
Befimmo SA,2010,31360,Belgium,Financials,BEFB BB,BE0003678894,192,0,NA,2014,192
Tim Hortons Inc.,2010,31830,Canada,Consumer Discretionary,THI CN,CA88706M1032,26793,4677,NA,2014,31470
Amadeus IT Holding,2010,31917,Spain,Information Technology,AMS SM,ES0109067019,1367,19470,NA,2014,20837
"Universal Global Technology(Shenzhen)Co.,Ltd.",2010,32572,China,Industrials,NA,NA,440,31494,NA,2013,31934
Cia Energética de São Paulo S.A. - CESP,2010,3299,Brazil,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",CESP3 BZ,BRCESPACNOR3,18119,365,NA,2016,18484
Hyatt Hotels,2010,33275,USA,Consumer Discretionary,H US,US4485791028,229202,1175688,1,2013,1404891
TRW Automotive Holdings Corp,2010,34458,USA,Consumer Discretionary,TRW US,US87264S1069,107997,568429,NA,2014,676426
Companhia de Saneamento Basico do Estado de Sao Paulo - SABESP,2010,3690,Brazil,Utilities,SBSP3 BZ,BRSBSPACNOR5,1750513,110968,NA,2013,1861481
Henry Boot plc,2010,37010,United Kingdom,Consumer Discretionary,BHY LN,GB0001110096,704,121,NA,2014,825
Costco Wholesale Corporation,2010,3944,USA,Consumer Staples,COST US,US22160K1051,362802,1197983,NA,2013,1560785
Crest Nicholson PLC,2010,4059,United Kingdom,Consumer Discretionary,NA,NA,1008,427,NA,2013,1435
CaixaBank,2010,4081,Spain,"Banks, Diverse Financials, Insurance",CABK SM,ES0140609019,17174,22419,NA,2016,39593
Keilhauer,2010,41902,Canada,Industrials,5090674Z CN,NA,495,201,NA,2013,696
Trade Me,2010,44968,New Zealand,Consumer Discretionary,TME NZ,NA,7,94,NA,2013,101
Altarea Cogedim,2010,48587,France,Financials,NA,NA,975,2237,NA,2013,3212
RCL Foods Ltd,2010,49681,South Africa,Consumer Staples,RCL SJ,NA,134013,308179,NA,2014,442192
OFS Brands,2010,52854,USA,Industrials,NA,NA,29080,16372,3779,2014,49231
SK Engineering & Construction,2010,52987,South Korea,Industrials,003340 KF,NA,8684,17863,NA,2014,26547
Abertis Infraestructuras,2010,53,Spain,Industrials,ABE SM,ES0111845014,39979,113673,NA,2013,153652
Stance Healthcare,2010,53090,Canada,Industrials,0082660D CN,NA,25,12,NA,2015,37
FERROVIAL,2010,6305,Spain,Construction & Engineering,FER SM,ES0118900010,709830,143881,36999,2017,890710
FirstEnergy Corporation,2010,6383,USA,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",FE US,US3379321074,79611980,NA,NA,2016,79611980
Abbott Laboratories,2010,64,USA,Health Care,ABT US,US0028241000,528935,585497,NA,2013,1114432
Flowserve Corporation,2010,6424,USA,Industrials,FLS US,US34354P1057,NA,NA,NA,2015,0
Fuji Heavy Industries Ltd.,2010,6855,Japan,Consumer Discretionary,7270 JP,JP3814800003,138428,104923,NA,2013,243351
GRANT THORNTON,2010,7675,USA,Financials,UNLS,NA,1320,12315,NA,2015,13635
Groupe Steria,2010,7773,France,Information Technology,RIA FP,FR0000072910,3079,19738,NA,2013,22817
Hannover Rückversicherung AG,2010,8082,Germany,Financials,HNR1 GR,DE0008402215,0,3326,NA,2014,3326
"Ibiden Co., Ltd.",2010,8732,Japan,Information Technology,4062 JP,JP3148800000,231000,338000,NA,2013,569000
Progressive Waste Solutions Ltd.,2010,8806,Canada,Industrials,BIN CN,CA74339G1019,2291267,19017,19247,2013,2329531
Ingersoll-Rand Co. Ltd.,2010,9103,Bermuda,Industrials,IR US,IE00B6330302,306550,305070,NA,2014,611620
Asciano Group,2011,1009,Australia,Industrials,AIO AU,AU000000AIO7,1027562,130234,NA,2013,1157796
Keyera Facilities Income Fund,2011,10117,Canada,Energy,KEY CN,CA4932711001,1462648,216795,NA,2013,1679443
Kingfisher,2011,10156,United Kingdom,Consumer Discretionary,KGF LN,GB0033195214,132730,306467,NA,2013,439197
Kurita Water Industries Ltd.,2011,10320,Japan,Industrials,6370 JP,JP3270000007,24825,129189,NA,2014,154014
Asics Corporation,2011,1046,Japan,Consumer Discretionary,7936 JP,JP3118000003,5437,11195,NA,2014,16632
Larsen & Toubro,2011,10484,India,Industrials,LT IN,INE018A01030,424351,248130,NA,2013,672481
"LAWSON, Inc.",2011,10511,Japan,Consumer Discretionary,2651 JP,JP3982100004,5738,14049,NA,2013,19787
Leighton Holdings,2011,10617,Australia,Industrials,LEI AU,AU000000LEI5,730542,132516,1,2013,863059
Legal & General Group plc,2011,10629,United Kingdom,Financials,LGEN LN,GB0005603997,4218,29385,NA,2013,33603
Aspen Pharmacare Holdings,2011,1069,South Africa,Health Care,APN SJ,ZAE000066692,6774,88008,NA,2013,94782
Lincoln National Corporation,2011,10696,USA,Financials,LNC US,US5341871094,4193,16192,NA,2015,20385
Link Real Estate Investment Trust,2011,10746,Hong Kong,Financials,823 HK,HK0823032773,0,169242,NA,2013,169242
Assicurazioni Generali Spa,2011,1076,Italy,Financials,G IM,IT0000062072,18215,51944,NA,2013,70159
Logitech International SA,2011,10834,Switzerland,Information Technology,LOGN SW,CH0025751329,159,9494,NA,2013,9653
ASX,2011,1109,Australia,Financials,ASX AU,AU000000ASX7,251,11434,NA,2013,11685
Massmart Holdings Ltd,2011,11420,South Africa,Consumer Staples,MSM SJ,ZAE000152617,25673,298522,NA,2013,324195
McBride plc,2011,11565,United Kingdom,Consumer Staples,MCB LN,GB0005746358,12232,49312,NA,2013,61544
Mediaset,2011,11631,Italy,Consumer Discretionary,MS IM,IT0001063210,NA,68716,NA,2013,68716
Auckland International Airport,2011,1164,New Zealand,Industrials,AIA NZ,NZAIAE0001S8,2520,6387,NA,2013,8907
Mediobanca,2011,11640,Italy,Financials,MB IM,IT0000062957,10,NA,NA,2013,10
Merck KGaA,2011,11764,Germany,Health Care,MRK GR,DE0006599905,317482,203423,4915,2013,525820
METRO AG,2011,11820,Germany,Consumer Discretionary,MEO GR,DE0007257503,983699,2432102,NA,2013,3415801
Metcash,2011,11823,Australia,Consumer Staples,MTS AU,AU000000MTS0,20087,159106,NA,2013,179193
Millennium & Copthorne Hotels,2011,11944,United Kingdom,Consumer Discretionary,MLC LN,GB0005622542,67151,232272,NA,2013,299423
Mirvac Group,2011,12095,Australia,Financials,MGR AU,AU000000MGR9,9987,145228,NA,2013,155215
Aveng Ltd,2011,1224,South Africa,Industrials,AEG SJ,ZAE000111829,439373,139605,NA,2013,578978
Molex Incorporated,2011,12363,USA,Information Technology,MOLX US,US6085541018,13219,279870,NA,2013,293089
Monadelphous Group,2011,12365,Australia,Industrials,MND AU,AU000000MND5,9185,3261,NA,2013,12446
Munich Re,2011,12611,Germany,Financials,MUV2 GR,DE0008430026,83331,93996,NA,2013,177327
Murray & Roberts Holdings Limited,2011,12622,South Africa,Industrials,MUR SJ,ZAE000073441,455104,68107,NA,2013,523211
National Australia Bank,2011,12798,Australia,Financials,NAB AU,AU000000NAB4,25363,171767,NA,2013,197130
NCR Corporation,2011,12907,USA,Information Technology,NCR US,US62886E1082,80137,74928,NA,2013,155065
Newcrest Mining,2011,13115,Australia,Materials,NCM AU,AU000000NCM7,1542738,689938,NA,2013,2232676
News Corporation,2011,13126,USA,Consumer Discretionary,NWSA US,US65249B1098,62360,376022,108,2013,438490
New Zealand Oil & Gas,2011,13132,New Zealand,Energy,NZO NZ,NZNOGE0001S6,25618,NA,NA,2013,25618
Nikon Corporation,2011,13267,Japan,Consumer Discretionary,7731 JP,JP3657400002,27220,162656,NA,2014,189876
Nippon Telegraph & Telephone Corporation (NTT),2011,13298,Japan,Telecommunication Services,9432 JP,JP3735400008,260000,3531000,NA,2013,3791000
Northrop Grumman Corp,2011,13488,USA,Aerospace & Defense,NOC US,US6668071029,155656,537302,NA,2017,692958
Absa Group,2011,138,South Africa,Financials,BGA SJ,ZAE000174124,19821,359617,NA,2013,379438
Arrium,2011,13878,Australia,Materials,ARI AU,AU000000ARI0,2963116,1561150,NA,2013,4524266
Origin Energy,2011,14049,Australia,Energy,ORG AU,AU000000ORG5,2707583,47459,NA,2013,2755042
ORIX Corporation,2011,14070,Japan,Financials,8591 JP,JP3200450009,231852,164896,32120,2013,428868
Bank of Montreal,2011,1417,Canada,Financials,BMO CN,CA0636711016,24034,97585,NA,2013,121619
Banco Sabadell,2011,1425,Spain,Financials,SAB SM,ES0113860A34,379,1207,NA,2013,1586
Bang & Olufsen a/s,2011,1430,Denmark,Information Technology,BO DC,DK0010218429,2041,4825,NA,2013,6866
Pernod Ricard,2011,14562,France,Consumer Staples,RI FP,FR0000120693,283345,92502,0,2013,375847
Perpetual Investments,2011,14581,Australia,Financials,PPT AU,AU000000PPT9,47,4112,NA,2013,4159
PG&E Corporation,2011,14678,USA,Utilities,PCG US,US69331C1080,3447026,1206920,8510,2013,4662456
Barclays,2011,1502,United Kingdom,Financials,BARC LN,GB0031348658,51553,835137,NA,2013,886690
Procter & Gamble Company,2011,15132,USA,Consumer Staples,PG US,US7427181091,2799000,3028000,NA,2013,5827000
PSP Swiss Property AG,2011,15288,Switzerland,Financials,PSPN SW,CH0018294154,13859,4353,NA,2013,18212
Qantas Airways,2011,15341,Australia,Industrials,QAN AU,AU000000QAN2,12493551,213374,NA,2013,12706925
Raiffeisen Bank International AG,2011,15493,Austria,"Banks, Diverse Financials, Insurance",RBI AV,AT0000606306,7112,37190,0,2017,44302
Redrow Homes Ltd,2011,15583,United Kingdom,Consumer Discretionary,RDW LN,GB0007282386,4519,2096,NA,2013,6615
Basler Kantonalbank,2011,1563,Switzerland,Financials,BSKP SW,CH0009236461,26,416,NA,2013,442
BAUER AG,2011,1564,Germany,Industrials,B5A GR,DE0005168108,8891,4909,NA,2013,13800
Remgro,2011,15653,South Africa,Financials,REM SJ,ZAE000026480,311450,367712,0,2013,679162
"Rengo Co., Ltd.",2011,15660,Japan,Materials,3941 JP,JP3981400009,880064,238773,NA,2013,1118837
Renishaw,2011,15662,United Kingdom,Information Technology,RSW LN,GB0007323586,2950,12008,NA,2014,14958
Rentokil Initial,2011,15675,United Kingdom,Industrials,RTO LN,GB00B082RF11,186127,27613,NA,2014,213740
Baxter International Inc.,2011,1574,USA,Health Care,BAX US,US0718131099,348000,460000,172000,2014,980000
Rogers Communications Inc.,2011,15916,Canada,Consumer Discretionary,RCI/B CN,CA7751092007,38870,159819,NA,2013,198689
Royal Bank of Canada,2011,15980,Canada,Financials,RY CN,CA7800871021,35546,145222,NA,2013,180768
BCE Inc.,2011,1616,Canada,Telecommunication Services,BCE CN,CA05534B7604,90595,172910,NA,2013,263505
Samsung Electronics,2011,16191,South Korea,Information Technology,005930 KS,KR7005930003,1790229,4754165,NA,2013,6544394
Sapporo Holdings Limited,2011,16294,Japan,Consumer Staples,2501 JP,JP3320800000,119453,92860,NA,2013,212313
Santos,2011,16310,Australia,Energy,STO AU,AU000000STO6,3807773,37796,NA,2013,3845569
Sasol Limited,2011,16366,South Africa,Energy,SOL SJ,ZAE000006896,66895000,8553000,NA,2013,75448000
Sears Canada Inc.,2011,16576,Canada,Consumer Discretionary,SCC CN,CA81234D1096,157218,74112,NA,2013,231330
"Seven & I Holdings Co., Ltd.",2011,16728,Japan,Consumer Staples,3382 JP,JP3422950000,169619,2310530,NA,2013,2480149
Bendigo and Adelaide Bank,2011,1680,Australia,Financials,BEN AU,AU000000BEN6,3747,29227,NA,2013,32974
Sims Metal Management,2011,17028,Australia,Materials,SGM AU,AU000000SGM7,117886,138329,NA,2014,256215
Standard Life,2011,17604,United Kingdom,Financials,SL/ LN,GB00B16KPT44,3215,15315,NA,2015,18530
Stagecoach Group,2011,17634,United Kingdom,Industrials,SGC LN,GB00B6YTLS95,957538,246064,6382,2013,1209984
StarHub,2011,17668,Singapore,Telecommunication Services,STH SP,NA,3024,58670,NA,2014,61694
Stockland,2011,17770,Australia,Financials,SGP AU,AU000000SGP0,26241,121002,NA,2013,147243
Steinhoff International Holdings,2011,17807,South Africa,Consumer Discretionary,SHF SJ,ZAE000016176,491000,569719,14033,2013,1074752
Sun Life Financial Inc.,2011,17886,Canada,Financials,SLF CN,CA8667961053,30771,36536,NA,2014,67307
Suncorp Group,2011,17937,Australia,Financials,SUN AU,AU000000SUN6,6832,58667,NA,2013,65499
SunOpta Inc.,2011,17957,Canada,Consumer Staples,SOY CN,CA8676EP1086,47362,76804,NA,2013,124166
BHP Billiton,2011,1808,United Kingdom,Materials,BHP AU,AU000000BHP4,20200000,20000000,NA,2013,40200000
Bic,2011,1812,France,Industrials,BB FP,FR0000120966,9962,85808,NA,2014,95770
Sysco Corporation,2011,18155,USA,Consumer Staples,SYY US,US8718291078,769778,343766,NA,2013,1113544
"T&D Holdings, Inc.",2011,18170,Japan,Financials,8795 JP,JP3539220008,2517,44366,NA,2013,46883
Big Yellow Group,2011,1823,United Kingdom,Financials,BYG LN,GB0002869419,141,6143,NA,2014,6284
Tata Chemicals,2011,18288,India,Materials,TTCH IN,INE092A01019,5018609,567312,24,2013,5585945
Takeda Pharmaceutical Company Limited,2011,18316,Japan,Health Care,4502 JP,JP3463000004,238684,168509,NA,2013,407193
Bilfinger SE,2011,1833,Germany,Trading Companies & Distributors and Commercial Services & Supplies,GBF GR,DE0005909006,13870,51069,NA,2017,64939
Taylor Wimpey Plc,2011,18354,United Kingdom,Consumer Discretionary,TW/ LN,GB0008782301,10923,13444,NA,2013,24367
Telecom Corporation of New Zealand,2011,18413,New Zealand,Telecommunication Services,TEL NZ,NZTELE0001S4,4329,34965,NA,2014,39294
Telstra Corporation,2011,18519,Australia,Telecommunication Services,TLS AU,AU000000TLS2,53587,1374617,NA,2013,1428204
Telus Corporation,2011,18526,Canada,Telecommunication Services,T CN,CA87971M1032,70000,301100,NA,2013,371100
Westpac Banking Corporation,2011,19051,Australia,Financials,WBC AU,AU000000WBC1,12134,176648,NA,2013,188782
Toll Holdings,2011,19171,Australia,Industrials,TOL AU,AU000000TOL1,594015,94186,NA,2013,688201
"Tokyo Gas Co., Ltd.",2011,19192,Japan,Utilities,9531 JP,JP3573000001,2718000,210600,NA,2013,2928600
Toyota Boshoku Corporation,2011,19286,Japan,Consumer Discretionary,3116 JT,JP3635400009,57962,224189,NA,2014,282151
Toyota Motor Corporation,2011,19290,Japan,Consumer Discretionary,7203 JP,JP3633400001,2727000,4499000,NA,2013,7226000
Transfield Services,2011,19310,Australia,Industrials,TSE AU,AU000000TSE7,53567,43458,NA,2013,97025
Transpacific Industries Group,2011,19316,Australia,Industrials,TPI AU,AU000000TPI4,931637,47430,7,2013,979074
TransAlta Corporation,2011,19328,Canada,Utilities,TA CN,CA89346D1078,27609669,208647,NA,2014,27818316
Bonduelle,2011,1947,France,Consumer Staples,BON FP,FR0000063935,155359,41567,80,2013,197006
Truworths International,2011,19565,South Africa,Consumer Discretionary,TRU SJ,ZAE000028296,434,64828,NA,2013,65262
Wal Mart de Mexico,2011,20332,Mexico,Consumer Staples,WALMEX* MM,MXP810081010,598645,868105,NA,2015,1466750
Boral,2011,2053,Australia,Materials,BLD AU,AU000000BLD2,2810736,724495,NA,2013,3535231
Welspun-Gujarat Stahl Rohren,2011,20567,India,Materials,NA,NA,147028,4003,NA,2014,151031
Wesfarmers,2011,20592,Australia,Consumer Staples,WES AU,AU000000WES1,2508924,2790505,NA,2013,5299429
Wesco International,2011,20593,USA,Consumer Discretionary,WCC US,US95082P1057,18901,27222,NA,2014,46123
West Japan Railway Company,2011,20597,Japan,Industrials,9021 JP,JP3659000008,100000,1503000,NA,2013,1603000
Western Areas NL,2011,20614,Australia,Materials,WSA AU,AU000000WSA9,23061,45169,NA,2013,68230
WestJet Airlines Ltd.,2011,20617,Canada,Industrials,WJA CN,CA9604102074,2632462,13325,NA,2014,2645787
Wilson Bayly Holmes-Ovcon Ltd,2011,20754,South Africa,Industrials,WBO SJ,ZAE000009932,29773,11492,NA,2013,41265
Woolworths Limited,2011,20780,Australia,Consumer Staples,WOW AU,AU000000WOW2,383871,2499051,126,2013,2883048
